INFO  - 2013-12-17 04:56:43.182; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.182; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.182; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-12-17 04:56:43.182; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.182; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.183; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-12-17 04:56:43.183; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-12-17 04:56:43.183; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-12-17 04:56:43.183; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.184; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-12-17 04:56:43.184; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-12-17 04:56:43.184; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-12-17 04:56:43.184; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-12-17 04:56:43.185; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-12-17 04:56:43.185; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.185; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-12-17 04:56:43.186; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-12-17 04:56:43.186; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.186; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.186; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.187; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.187; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.188; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/dist/solr-cell-4.6.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.189; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.189; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.189; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-12-17 04:56:43.190; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-12-17 04:56:43.190; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-12-17 04:56:43.190; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.190; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-12-17 04:56:43.191; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-12-17 04:56:43.192; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/dist/solr-clustering-4.6.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.192; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-12-17 04:56:43.192; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
